Title,Rating,Votes,Time,Genre,Stars
Hellbound,6.7,"14,032",150 min,"Crime, Drama, Fantasy","Yoo Ah-in, Kim Hyun-joo, Jeong Min Park, Jin-ah Won"
Squid Game,8.1,"339,931",55 min,"Action, Drama, Mystery","Lee Jung-jae, Park Hae-soo, Wi Ha-Joon, Jung Hoyeon"
My Name,7.9,"12,877",50 min,"Action, Crime, Drama","Hee-soon Park, Ahn Bo-Hyun, Han So-hee, Kim Sang-Ho"
Miraculous: Tales of Ladybug & Cat Noir,7.7,"9,439",20 min,"Animation, Action, Adventure","Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee"
Happiness,8.6,921,-,"Action, Fantasy, Thriller","Han Hyo-joo, Park Hyung-Sik, Woo-jin Jo, Lee Joon-hyuk"
Dr. Brain,6.9,"1,031",60 min,"Drama, Mystery, Sci-Fi","Sun-kyun Lee, June Yoon, Yoo-Young Lee, Hee-soon Park"
Adventure Time,8.6,"85,668",11 min,"Animation, Action, Adventure","John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch"
Hometown Cha-Cha-Cha,8.6,"6,192",70 min,"Comedy, Romance","Shin Min-a, Kim Seon-Ho, Lee Bong-ryun, Kim Young-ok"
Kingdom,8.4,"39,773",45 min,"Action, Drama, History","Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim"
Sweet Home,7.4,"15,932",52 min,"Drama, Fantasy, Horror","Song Kang, Lee Jin-Wook, Lee Si-young, Lee Do-Hyun"
Crash Landing on You,8.7,"20,735",70 min,"Adventure, Comedy, Romance","Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun"
One Ordinary Day,8.9,422,60 min,"Crime, Mystery","Kim Soo-hyun, Seung-Won Cha"
The Silent Sea,-,-,45 min,"Adventure, Drama, Mystery",-
The King's Affection,8.1,781,-,"Drama, Romance","Lee Pil-mo, Eun-bin Park, Kim Ro Woon, Byungchan"
Amphibia,8.1,"3,790",23 min,"Animation, Short, Action","Brenda Song, Justin Felbinger, Bill Farmer, Amanda Leighton"
Vincenzo,8.5,"11,787",80 min,"Comedy, Crime, Drama","Song Joong-ki, Jeon Yeo-bin, Taecyeon, Kwak Dong-yeon"
It's Okay to Not Be Okay,8.7,"17,402",80 min,"Comedy, Drama, Romance","Kim Soo-hyun, Seo Ye-Ji, Oh Jeong-Se, Park Gyuyoung"
Guardian: The Lonely and Great God,8.6,"16,487",120 min,"Comedy, Drama, Fantasy","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na"
Mouse,8.7,"3,583",80 min,"Action, Crime, Mystery","Lee Seung-gi, Lee Hee-joon, Park Joo-Hyun, Soo-jin Kyung"
"Now, We Are Breaking Up",7.8,748,60 min,"Drama, Romance","Ana Kim, Song Hye-Kyo, Jang Ki-Yong, Hee-Seo Choi"
Phineas and Ferb,8,"40,699",15 min,"Animation, Short, Action","Vincent Martella, Thomas Brodie-Sangster, Dan Povenmire, Ashley Tisdale"
Red Sleeve,8.8,238,70 min,"Drama, History, Romance","Jun-Ho Lee, Se-yeong Lee, Jang Hie-jin, Ji-Young Park"
True Beauty,8.1,"4,537",70 min,"Comedy, Drama, Romance","Moon Ga-young, Cha Eun-Woo, Hwang In-Yeop, Yoo-na Park"
The Boondocks,8.4,"28,789",22 min,"Animation, Action, Comedy","Regina King, John Witherspoon, Gary Anthony Williams, Cedric Yarbrough"
Itaewon Class,8.2,"9,933",70 min,"Drama, Romance","Seo Jun Park, Kim Da-Mi, Yoo Jae-myung, Nara"
Jirisan,7.7,374,-,"Action, Drama, Mystery","Jun Ji-hyun, Ju Ji-Hoon, Choi Jung Hoo, Jo Han-chul"
Start-Up,8.1,"7,432",80 min,"Comedy, Drama, Romance","Bae Suzy, Nam Joo-Hyuk, Kim Seon-Ho, Kang Han-na"
Mr. Sunshine,8.8,"6,045",80 min,"Action, Drama, History","Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun"
The Flower of Evil,8.7,"5,329",70 min,"Crime, Mystery, Romance","Lee Joon-Gi, Moon Chae-Won, Seo Hyun-woo, Choi Dae-hoon"
Kim Possible,7.2,"26,005",30 min,"Animation, Action, Adventure","Christy Carlson Romano, Will Friedle, Nancy Cartwright, Tahj Mowry"
Stranger,8.5,"7,057",60 min,"Crime, Drama, Mystery","Cho Seung-woo, Bae Doona, Lee Joon-hyuk, Jeon Bae-soo"
Vagabond,8.2,"6,531",60 min,"Action, Mystery, Thriller","Lee Seung-gi, Bae Suzy, Jung-hee Moon, Yun-shik Baek"
Descendants of the Sun,8.3,"12,894",60 min,"Action, Comedy, Drama","Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won"
Nevertheless,7.3,"3,038",70 min,"Drama, Romance","Han So-hee, Song Kang, Lee Ho-jung, Yang Hye-Ji"
Hotel Del Luna,8.2,"6,425",80 min,"Drama, Fantasy, Horror","Ji-eun Lee, Yeo Jin-gu, Shin Jeong-geun, Bae Hae-Sun"
D.P.,8.3,"3,423",50 min,"Action, Crime, Drama","Jung Hae-In, Harrison Xu, Sukku Son, Kim Seong-gyoon"
Move to Heaven,8.6,"4,129",60 min,Drama,"Olivia Castanho, Lee Jehoon, Tang Joon-sang, Sanyee Yuan"
Extracurricular,7.7,"4,981",50 min,"Crime, Drama","Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su"
What's Wrong with Secretary Kim,8.1,"9,116",60 min,"Comedy, Mystery, Romance","Park Min-Young, Seo Jun Park, Lee Tae-Hwan, Kim Byeong-Ok"
Reflection of You,6.9,121,64 min,"Drama, Thriller","Garrison Michael Farquharson-Keener, Hyun-Jung Go, Shin Hyon Bin, Su-an Kim"
Beyond Evil,8.2,"2,055",70 min,"Drama, Mystery, Thriller","Shin Ha-kyun, Yeo Jin-gu, Sung-eun Choi, Choi Dae-hoon"
Snowdrop,10,140,70 min,"Drama, Romance","Jung Hae-In, Jisoo Kim, Yoo In-Na, Lee Jung-hyun"
The King: Eternal Monarch,8.2,"9,327",70 min,"Fantasy, Mystery, Romance","Lee Min-Ho, Kim Go-eun, Woo Do-Hwan, Kim Kyung-Nam"
Strong Girl Bong-soon,8.2,"9,733",67 min,"Comedy, Crime, Drama","Park Bo-Young, Park Hyung-Sik, Ji Soo, Jun Suk-ho"
Tale of the Nine Tailed,7.9,"3,306",70 min,"Fantasy, Horror, Romance","Lee Dong-Wook, Jo Bo-ah, Kim Bum, Kim Yong Ji"
